Child_ID,Exam,Goal,Grade,Title,Type,Format_refrence,Section_name,Subject,Subject_tagged,Learnpath_name,Learnmap_id,Chapter
4126729,6th CBSE,CBSE,6,Integers,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--integers,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Integers,integers
4126729,6th CBSE,CBSE,6,Decimals,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--decimals,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Decimals,decimals
4126729,6th CBSE,CBSE,6,Whole Numbers,learn_chapter,5ec5867a0c88fe5860961943,Learn Mathematics Chapters From 6th CBSE,Mathematics,Mathematics,cbse--6th cbse--mathematics--arithmetic--whole numbers,5ec5867a0c88fe5860961943/CBSE/6th CBSE/Mathematics/Arithmetic/Whole Numbers,whole numbers
4126738,7th CBSE,CBSE,7,Nutrition in Animals,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,cbse--7th cbse--science--biology--nutrition in animals,5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Biology/Nutrition in Animals,nutrition in animals
4126738,7th CBSE,CBSE,7,"Weather, Climate and Adaptations of Animals to Climate",learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,"cbse--7th cbse--science--biology--weather, climate and adaptations of animals to climate","5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Biology/Weather, Climate and Adaptations of Animals to Climate","weather, climate and adaptations of animals to climate"
4126738,7th CBSE,CBSE,7,Respiration in Organisms,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,cbse--7th cbse--science--biology--respiration in organisms,5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Biology/Respiration in Organisms,respiration in organisms
4126738,7th CBSE,CBSE,7,Transportation in Animals and Plants,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,cbse--7th cbse--science--biology--transportation in animals and plants,5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Biology/Transportation in Animals and Plants,transportation in animals and plants
4126738,7th CBSE,CBSE,7,Reproduction in Plants,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,cbse--7th cbse--science--biology--reproduction in plants,5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Biology/Reproduction in Plants,reproduction in plants
4126738,7th CBSE,CBSE,7,Forests: Our Lifeline,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,cbse--7th cbse--science--biology--forests: our lifeline,5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Biology/Forests: Our Lifeline,forests: our lifeline
4126738,7th CBSE,CBSE,7,Fibre to Fabric,learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,cbse--7th cbse--science--chemistry--fibre to fabric,5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Chemistry/Fibre to Fabric,fibre to fabric
4126738,7th CBSE,CBSE,7,"Acids, Bases and Salts",learn_chapter,5ec5867a0c88fe5860961943,Learn Science Chapters From 7th CBSE,Science,Science,"cbse--7th cbse--science--chemistry--acids, bases and salts","5ec5867a0c88fe5860961943/CBSE/7th CBSE/Science/Chemistry/Acids, Bases and Salts","acids, bases and salts"
