Child_ID,Exam,Goal,Grade,main_learnpath,Title,Format_refrence,Topic_learnpath_name,Concept_count,Sequence
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,graphical representation of motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--motion--graphical representation of motion,6.0,39.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,equations of motion by graphical method,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--motion--equations of motion by graphical method,1.0,40.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,uniform circular motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--motion--uniform circular motion,4.0,41.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--motion in a plane,inertia and mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--inertia and mass,7.0,44.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,fundamental forces of nature,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--physical world--fundamental forces of nature,5.0,3.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,speed and velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--speed and velocity,9.0,18.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,acceleration,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--acceleration,10.0,19.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,relative velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--relative velocity,5.0,21.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,scalars and vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--scalars and vectors,18.0,22.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,relative velocity in two dimensions,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--relative velocity in two dimensions,12.0,26.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,uniform circular motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--uniform circular motion,7.0,27.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,force,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--force,1.0,29.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,law of inertia,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--law of inertia,3.0,30.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,newton's second law of motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--newton's second law of motion,10.0,32.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,conservation of momentum,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--conservation of momentum,1.0,33.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,common forces in mechanics,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--laws of motion--common forces in mechanics,12.0,35.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,describing motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--motion--describing motion,11.0,37.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,uniform circular motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--motion--uniform circular motion,4.0,41.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,first law of motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--first law of motion,4.0,42.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,balanced and unbalanced forces,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--balanced and unbalanced forces,5.0,43.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,inertia and mass,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--inertia and mass,7.0,44.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,second law of motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--second law of motion,8.0,45.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,third law of motion,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--third law of motion,7.0,46.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,potential energy,5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--work, energy and power--potential energy",6.0,46.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,conservation of momentum,5ec5867a0c88fe5860961943,cbse--9th cbse--science--physics--force and laws of motion--conservation of momentum,3.0,47.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,force - a push or a pull,5ec5867a0c88fe5860961943,cbse--8th cbse--science--physics--force and pressure--force - a push or a pull,2.0,59.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,contact forces,5ec5867a0c88fe5860961943,cbse--8th cbse--science--physics--force and pressure--contact forces,3.0,63.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,non-contact forces,5ec5867a0c88fe5860961943,cbse--8th cbse--science--physics--force and pressure--non-contact forces,6.0,64.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--laws of motion,force of friction,5ec5867a0c88fe5860961943,cbse--8th cbse--science--physics--friction--force of friction,2.0,68.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,physical quantities,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--units and measurements--physical quantities,3.0,5.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,speed and velocity,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--speed and velocity,9.0,18.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,kinematic equations for uniformly accelerated motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a straight line--kinematic equations for uniformly accelerated motion,16.0,20.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,scalars and vectors,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--scalars and vectors,18.0,22.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,"position vector, displacement, velocity and acceleration",5ec5867a0c88fe5860961943,"cbse--11th cbse--physics--mechanics--motion in a plane--position vector, displacement, velocity and acceleration",10.0,23.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,uniform circular motion,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--uniform circular motion,7.0,27.0
4126762,11th CBSE,CBSE,11,cbse--11th cbse--physics--mechanics--systems of particles and rotational motion,angular acceleration,5ec5867a0c88fe5860961943,cbse--11th cbse--physics--mechanics--motion in a plane--angular acceleration,1.0,28.0
